Content,Paper Name,Label,Document Type,Affiliations,Cleaned_Content
"This paper introduces an innovative design for robotic operating platforms, underpinned by a transformative Internet of Things (IoT) architecture, seamlessly integrating cutting-edge technologies such as large language models (LLMs), generative AI, edge computing, and 5G networks. The proposed platform aims to elevate the intelligence and autonomy of IoT systems and robotics, enabling them to make real-time decisions and adapt dynamically to changing environments. Through a series of compelling case studies across industries including smart manufacturing, healthcare, and service sectors, this paper demonstrates the substantial potential of IoT-enabled robotics to optimize operational workflows, enhance productivity, and deliver innovative, scalable solutions. By emphasizing the roles of LLMs and generative AI, the research highlights how these technologies drive the evolution of intelligent robotics and IoT, shaping the future of industry-specific advancements. The findings not only showcase the transformative power of these technologies but also offer a forward-looking perspective on their broader societal and",Innovative Research on IoT Architecture and Robotic Operating Platforms: Applications of Large Language Models and Generative AI,healthcare robotics,Conference paper,,paper introduces innovative design robotic operating platform underpinned transformative internet thing iot architecture seamlessly integrating cutting edge technology large language model llm generative ai edge computing network proposed platform aim elevate intelligence autonomy iot system robotics enabling make real time decision adapt dynamically changing environment series compelling case study across industry including smart manufacturing healthcare service sector paper demonstrates substantial potential iot enabled robotics optimize operational workflow enhance productivity deliver innovative scalable solution emphasizing role llm generative ai research highlight technology drive evolution intelligent robotics iot shaping future industry specific advancement finding showcase transformative power technology also offer forward looking perspective broader societal
"The nursing profession is deeply rooted in the life and behavioral sciences, having evolved from the historical image of white dresses and caps to modern scrubs and lab coats. Despite its strong foundation in scientific processes, nursing is not yet recognized as a STEM profession. Nurses trained in research and PhD-prepared nurse scientists are paving the way for academia and healthcare to acknowledge the contributions of nursing to science through research, promotion of evidence-based practice, and dissemination of curated knowledge. Nurse scientists play a crucial role in involving more clinical nurses in research efforts. However, clinical nurses face several challenges in participating in research. To address these challenges, ChristianaCare launched the Nursing Fellowship in Robotics and Innovation in 2024. This fellowship provides clinical nurses with research opportunities and mentorship from nurse scientists. It successfully bridges the gap between clinical practice and research, fostering a future where nurses are integral contributors",Innovation Collaboration: Harnessing the Power of Nurse Scientist and Bedside Nurse Partnerships,healthcare robotics,Article,,nursing profession deeply rooted life behavioral science evolved historical image white dress cap modern scrub lab coat despite strong foundation scientific process nursing yet recognized stem profession nurse trained research phd prepared nurse scientist paving way academia healthcare acknowledge contribution nursing science research promotion evidence based practice dissemination curated knowledge nurse scientist play crucial role involving clinical nurse research effort however clinical nurse face several challenge participating research address challenge christianacare launched nursing fellowship robotics innovation fellowship provides clinical nurse research opportunity mentorship nurse scientist successfully bridge gap clinical practice research fostering future nurse integral contributor
"Soft and stretchable electronic devices are expected to offer technological advances in the field of robotics, human–machine interfacing, and healthcare. Employing biodegradable elastomers, hydrogels, and nontoxic conductors would add significant value to and minimize the ecological impact of such disposable and transient electronic applications. Here, the biodegradable and photo-crosslinkable elastomer poly(glycerol sebacic) acrylate (PGSA) is characterized for its use in soft and stretchable electronics. Its mechanical properties are investigated in terms of their chemical composition and compared to commonly used gelatin hydrogels. Furthermore, these materials are combined with interconnects made of liquid Galinstan in order to create functional substrates with certified biodegradability under ISO standards. The combination of these materials produces elastic circuit boards that act as soft platforms for body-mounted sensors or biodegradable stretchable light-emitting devices. These soft platforms reveal linear elongations at a break of 130% to 350% and similar moduli to nondegradable elastomers and human tissue, without",Soft Electronic Platforms Combining Elastomeric Stretchability and Biodegradability,healthcare robotics,Article,,soft stretchable electronic device expected offer technological advance field robotics human machine interfacing healthcare employing biodegradable elastomer hydrogel nontoxic conductor would add significant value minimize ecological impact disposable transient electronic application biodegradable photo crosslinkable elastomer poly glycerol sebacic acrylate pgsa characterized use soft stretchable electronics mechanical property investigated term chemical composition compared commonly used gelatin hydrogel furthermore material combined interconnects made liquid galinstan order create functional substrate certified biodegradability iso standard combination material produce elastic circuit board act soft platform body mounted sensor biodegradable stretchable light emitting device soft platform reveal linear elongation break similar modulus nondegradable elastomer human tissue without
"Background: When evaluating health technologies with insufficient scientific evidence, only innovative potentials can be assessed. A Regional policy initiative linking the governance of health innovations to the development of clinical research has been launched by the Region of Emilia Romagna Healthcare Authority. This program, aimed at enhancing the research capacity of health organizations, encourages the development of adoption plans that combine use in clinical practice along with experimental use producing better knowledge. Following the launch of this program we developed and propose a method that, by evaluating and ranking scientific uncertainty, identifies the moment (during the stages of the technology's development) where it would be sensible to invest in research resources and capacity to further its evaluation. The method was developed and tested during a research project evaluating robotic surgery.Methods: A multidisciplinary panel carried out a 5-step evaluation process: 1) definition of the technology's evidence profile and of all relevant","A method for addressing research gaps in HTA, developed whilst evaluating robotic-assisted surgery: Assisted proposal",healthcare robotics,Article,,background evaluating health technology insufficient scientific evidence innovative potential assessed regional policy initiative linking governance health innovation development clinical research launched region emilia romagna healthcare authority program aimed enhancing research capacity health organization encourages development adoption plan combine use clinical practice along experimental use producing better knowledge following launch program developed propose method evaluating ranking scientific uncertainty identifies moment stage technology development would sensible invest research resource capacity evaluation method developed tested research project evaluating robotic surgery method multidisciplinary panel carried step evaluation process definition technology evidence profile relevant
"Litigation after cybersurgery, i.e. remote robotic surgery, will be complex. In addition to being able to sue physicians and hospitals, patients who sustain an adverse outcome after cybersurgery will have the potential to sue the robotic manufacturer and the telecommunications company. Moreover, cybersurgery litigation will involve laws that are generally unfamiliar to healthcare providers. Accordingly, this article examines a lawsuit involving a robotic surgical instrument as a model to suggest where liability traps may arise during the delivery of cybersurgery. Copyright © 2007 John Wiley & Sons, Ltd. [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]",The complexity of litigation associated with robotic surgery and cybersurgery,healthcare robotics,Article,,litigation cybersurgery remote robotic surgery complex addition able sue physician hospital patient sustain adverse outcome cybersurgery potential sue robotic manufacturer telecommunication company moreover cybersurgery litigation involve law generally unfamiliar healthcare provider accordingly article examines lawsuit involving robotic surgical instrument model suggest liability trap may arise delivery cybersurgery copyright john wiley son ltd pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad
"Services related to healthcare and the support for elderly people become more and more important. Autonomous or semi-autonomous robots may play an important role in this area. From a control system point of view these robots are networks of distributed smart components to perceive their environment and react on it in real time. The problem of developing or extending such a robot often is that the designer has to start from scratch struggling with low level issues, where reusability of already designed components would be highly desirable. The paper describes a robot application in the area of a meals distribution service that combines two design worlds. One is the conventional world of modelling the functional properties without any structural considerations, the other is the world of cooperating sentient objects. We explain how the notion of sentient objects will assist the design, simulation and also later extensions and adaptations of the",Sentient objects for designing and controlling service robots,healthcare robotics,Conference paper,,service related healthcare support elderly people become important autonomous semi autonomous robot may play important role area control system point view robot network distributed smart component perceive environment react real time problem developing extending robot often designer start scratch struggling low level issue reusability already designed component would highly desirable paper describes robot application area meal distribution service combine two design world one conventional world modelling functional property without structural consideration world cooperating sentient object explain notion sentient object assist design simulation also later extension adaptation
"Autonomous defense systems powered by Artificial Intelligence (AI) and machine learning offer a critical solution to mitigate these risks. These systems monitor network traffic, detect anomalies in real time, and autonomously respond to potential threats without human intervention. This chapter examines the unique cybersecurity challenges associated with surgical robots, such as securing command- and- control systems, preventing remote hijacking, and ensuring the integrity of real- time data transmission. It also highlights successful implementations of AI- driven cybersecurity in healthcare, discussing how autonomous defense systems can safeguard surgical outcomes, protect patient data, and maintain compliance with regulatory standards. By integrating advanced cybersecurity solutions, healthcare organizations can enhance the resilience and safety of robotic- assisted surgical procedures. © 2025, IGI Global Scientific Publishing. All rights reserved. [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]",Autonomous defense systems for surgical robots ensuring cybersecurity in robotic-assisted surgery,healthcare robotics,Book chapter,,autonomous defense system powered artificial intelligence ai machine learning offer critical solution mitigate risk system monitor network traffic detect anomaly real time autonomously respond potential threat without human intervention chapter examines unique cybersecurity challenge associated surgical robot securing command control system preventing remote hijacking ensuring integrity real time data transmission also highlight successful implementation ai driven cybersecurity healthcare discussing autonomous defense system safeguard surgical outcome protect patient data maintain compliance regulatory standard integrating advanced cybersecurity solution healthcare organization enhance resilience safety robotic assisted surgical procedure igi global scientific publishing right reserved pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad
"The surge in infectious and chronic diseases, coupled with the increasing number of independent-living elderly individuals, has made remote patient monitoring (RPM) crucial for healthcare service. Sensors technology and the Internet of Things produce numerous small robotics devices for collecting multi-modal data on relevant physiological parameters. These are subsequently analyzed to predict health conditions in time to save patients’ lives. Range-specific physiological data analysis is very crucial in RPM systems. According to the literature, deep learning effectively analyzes this data type. However, its low explainability and high resource dependency motivate us to conduct a comparative study on how various machine learning (ML) approaches can enhance RPM. This study compares the performance of decision trees, random forest, and support vector machine algorithms on two publicly available RPM medical datasets from Kaggle. We evaluate these ML techniques for RPM in terms of accuracy, precision, recall, and sensitivity. Our findings provide valuable insights",Machine Learning Approaches for Analyzing Physiological Data in Remote Patient Monitoring,healthcare robotics,Conference paper,,surge infectious chronic disease coupled increasing number independent living elderly individual made remote patient monitoring rpm crucial healthcare service sensor technology internet thing produce numerous small robotics device collecting multi modal data relevant physiological parameter subsequently analyzed predict health condition time save patient life range specific physiological data analysis crucial rpm system according literature deep learning effectively analyzes data type however low explainability high resource dependency motivate u conduct comparative study various machine learning ml approach enhance rpm study compare performance decision tree random forest support vector machine algorithm two publicly available rpm medical datasets kaggle evaluate ml technique rpm term accuracy precision recall sensitivity finding provide valuable insight
"Introduction and aim: Although there are several publications on learning curves and patient outcomes in robotic surgery, the literature is lacking in depth analysis of operating room (OR) utilisation time which is an expansive healthcare resource for robotic surgery, especially in urology. Thus, we aimed to study individual operating theatre component times in order to improve performance and efficacy. Method: A cross-specialty robotic-surgery programme was established at our institution in mid-June 2016 using the daVinci Xi dual console robot. A detailed database was established before initiation of the project. The times taken for each element of the preparation and completion of robotic urological procedure were collected by an independent nurse for all the procedures. Primary outcome measures were total OR time, operative time and console time. Secondary outcome measures were port placement time, set-up time and non-operative time. The statistical significance was calculated by using the Student’s t-test, Fisher’s exact",A prospective study of the components of operating room utilisation time for robotic urological surgery in a public teaching hospital setting,healthcare robotics,Article,,introduction aim although several publication learning curve patient outcome robotic surgery literature lacking depth analysis operating room utilisation time expansive healthcare resource robotic surgery especially urology thus aimed study individual operating theatre component time order improve performance efficacy method cross specialty robotic surgery programme established institution mid june using davinci xi dual console robot detailed database established initiation project time taken element preparation completion robotic urological procedure collected independent nurse procedure primary outcome measure total time operative time console time secondary outcome measure port placement time set time non operative time statistical significance calculated using student test fisher exact
"This review aimed to identify the areas of need that older people have, and the available solutions. In particular, the robotic solutions are explored and critiqued and areas for future development identified. The literature was reviewed for factors that influence admission to nursing home care, and for technological solutions to these factors. The main issues facing older people are physical decline, cognitive decline, health management, and psychosocial issues. Robots exist that may meet some of the identified issues but gaps where robots could be developed include delivering interventions to prevent physical decline occurring and robots with multiple functions, including a range of cognitive stimuli and health education. To reduce barriers to acceptance, robots designed to provide physical and healthcare assistance should have a serious appearance. On the other hand animal-like robots can address psychosocial issues and function like pets. While smart phones and computers can offer some solutions, robots may",The Role of Healthcare Robots for Older People at Home: A Review,healthcare robotics,Article,,review aimed identify area need older people available solution particular robotic solution explored critiqued area future development identified literature reviewed factor influence admission nursing home care technological solution factor main issue facing older people physical decline cognitive decline health management psychosocial issue robot exist may meet identified issue gap robot could developed include delivering intervention prevent physical decline occurring robot multiple function including range cognitive stimulus health education reduce barrier acceptance robot designed provide physical healthcare assistance serious appearance hand animal like robot address psychosocial issue function like pet smart phone computer offer solution robot may
The paper presents a framework developed for facilitating care giver staff to interact with an elderly person in an emergency situation alone at home. The framework uses an autonomous mobile robot (ARTOS) as a communication medium in the home environment to establish a communication channel. The novel idea in this work is to facilitate emergency responding teams by also providing them access and control over the robot through mobile devices. The user evaluation study of the developed framework demonstrates the effective usability of the system even by users having no prior experience or training. [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Towards enhancing communication between caregiver teams and elderly patients in emergency situations,healthcare robotics,Conference paper,,paper present framework developed facilitating care giver staff interact elderly person emergency situation alone home framework us autonomous mobile robot artos communication medium home environment establish communication channel novel idea work facilitate emergency responding team also providing access control robot mobile device user evaluation study developed framework demonstrates effective usability system even user prior experience training pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad
"Additive manufacturing (AM) is energizing the fields of chemistry and materials science to develop new inks for new applications within fields such as aerospace, robotics, and healthcare. AM enables the fabrication of innumerable 3D geometries that cannot be easily produced by other means. In spite of the great promise of AM as an advanced form of future manufacturing, there are still fundamental challenges with respect to sustainability that need to be addressed. Some of the material needs for AM include sustainable sources of printing inks, resins, and filaments, as well as pathways for polymer recycling, upcycling, and chemical circularity. Furthermore, the combination of biosourced and biodegradable polymers with additive manufacturing could enable the fabrication of objects that can be recycled back into feedstock or degraded into nontoxic products after they have served their function. Herein, we review the recent literature on the design and chemistry of the polymers that enable",Sustainable Materials and Chemical Processes for Additive Manufacturing,healthcare robotics,Review,,additive manufacturing energizing field chemistry material science develop new ink new application within field aerospace robotics healthcare enables fabrication innumerable geometry cannot easily produced mean spite great promise advanced form future manufacturing still fundamental challenge respect sustainability need addressed material need include sustainable source printing ink resin filament well pathway polymer recycling upcycling chemical circularity furthermore combination biosourced biodegradable polymer additive manufacturing could enable fabrication object recycled back feedstock degraded nontoxic product served function herein review recent literature design chemistry polymer enable
"Background: Despite reports of increasing adoption of robotics in colorectal surgery worldwide, data regarding its uptake in Australasia are lacking. This study examines the trends of robotic colorectal surgery in Australia during the last 10 years. Methods: Data from patients undergoing robotic colorectal surgery with the da Vinci robotic platform between 2010 and 2019 were obtained. Overall, numbers of specific colorectal procedures across Australia were obtained from the Medicare Benefit Schedule data over the same period. Pearson's correlation analysis was used to determine the statistical trends of overall and specific robotic colorectal procedures over time. Results: A total of 6110 robotic general surgery procedures were performed across Australia during the study period. Of these, 3522 (57.6%) were robotic colorectal procedures. An increasing trend of overall robotic colorectal procedures was seen over 10 years (Pearson's coefficient of 0.875; P = 0.001). While this applied to both the public and private sectors,",Robotic colorectal surgery in Australia: evolution over a decade,healthcare robotics,Article,,background despite report increasing adoption robotics colorectal surgery worldwide data regarding uptake australasia lacking study examines trend robotic colorectal surgery australia last year method data patient undergoing robotic colorectal surgery da vinci robotic platform obtained overall number specific colorectal procedure across australia obtained medicare benefit schedule data period pearson correlation analysis used determine statistical trend overall specific robotic colorectal procedure time result total robotic general surgery procedure performed across australia study period robotic colorectal procedure increasing trend overall robotic colorectal procedure seen year pearson coefficient applied public private sector
"Natural hydrogels like gelatin are ideal for fabricating sensors that monitor human body signals due to their excellent biocompatibility. However, their typically large molecular weight restricts molecular mobility and repositioning under stress, limiting their stretchability performance. In this study, a hydrogel sensor PAM-Gel/β-GP/LiCl (named: PGBL) combining gelatin with ion salts, is proposed. Through the synergistic effect of sodium β-glycerophosphate (β-GP) and LiCl, the PAM-gelatin-based hydrogel achieves an extraordinary elongation strain exceeding 11000 %, enabling ultra-stretchability. Additionally, PGBL exhibits excellent electrical conductivity (8.2 S/m), high sensitivity (GF approximately 4.1), and resilience to low temperatures (−24 °C). Moreover, PGBL demonstrates strong adhesion, making it suitable for skin attachment in human body sensing applications. Integrating PGBL hydrogel sensors with a robotic hand has led to the development of a human–machine interaction control system. Furthermore, combining real-time data transmission and visualization technologies has resulted in a real-time respiratory monitoring system, which can monitor sleep",High-performance gelatin-based hydrogel flexible sensor for respiratory monitoring and human–machine interaction,healthcare robotics,Article,,natural hydrogel like gelatin ideal fabricating sensor monitor human body signal due excellent biocompatibility however typically large molecular weight restricts molecular mobility repositioning stress limiting stretchability performance study hydrogel sensor pam gel gp licl named pgbl combining gelatin ion salt proposed synergistic effect sodium glycerophosphate gp licl pam gelatin based hydrogel achieves extraordinary elongation strain exceeding enabling ultra stretchability additionally pgbl exhibit excellent electrical conductivity high sensitivity gf approximately resilience low temperature moreover pgbl demonstrates strong adhesion making suitable skin attachment human body sensing application integrating pgbl hydrogel sensor robotic hand led development human machine interaction control system furthermore combining real time data transmission visualization technology resulted real time respiratory monitoring system monitor sleep
"Wireless communications have been used widely for monitoring purposes in different applications such as smart metering, environmental sensing, industrial asset tracking or healthcare monitoring. However, the enhancement of wireless technologies such as Wi-Fi and 5G NR provides new opportunities for innovative applications. Especially in robotics, improvements in terms of throughput, latency, and reliability are enabling new use cases that vary from remote teleoperation of mobile robots to edge processing of multi-robot fleet systems. These scenarios target the increase of energy efficiency, productivity and security of automated processes for industry. Verticals such as manufacturing are demanding due to the co-existence of humans and machines. These shared locations are sensitive to productivity issues such as deadlocks and bottlenecks for mobile robots, and security matters such as labor accidents. In this sense, mobile robots require the processing of sensor data to detect humans on time to avoid accidents. This application is limited by",Evaluation of Combined Network Slicing and MEC Toward Mobile Robot Applications in 5G Networks,healthcare robotics,Article,,wireless communication used widely monitoring purpose different application smart metering environmental sensing industrial asset tracking healthcare monitoring however enhancement wireless technology wi fi nr provides new opportunity innovative application especially robotics improvement term throughput latency reliability enabling new use case vary remote teleoperation mobile robot edge processing multi robot fleet system scenario target increase energy efficiency productivity security automated process industry vertical manufacturing demanding due co existence human machine shared location sensitive productivity issue deadlock bottleneck mobile robot security matter labor accident sense mobile robot require processing sensor data detect human time avoid accident application limited
"This book introduces human factors engineering (HFE) principles, guidelines, and design methods for medical device design. It starts with an overview of physical, perceptual, and cognitive abilities and limitations, and their implications for design. This analysis produces a set of human factors principles that can be applied across many design challenges, which are then applied to guidelines for designing input controls, visual displays, auditory displays (alerts, alarms, warnings), and human-computer interaction. Specific challenges and solutions for various medical device domains, such as robotic surgery, laparoscopic surgery, artificial organs, wearables, continuous glucose monitors and insulin pumps, and reprocessing, are discussed. Human factors research and design methods are provided and integrated into a human factors design lifecycle, and a discussion of regulatory requirements and procedures is provided, including guidance on what human factors activities should be conducted when and how they should be documented. This hands-on professional reference is an essential introduction",Humanizing healthcare - Human factors for medical device design,healthcare robotics,Book,,book introduces human factor engineering hfe principle guideline design method medical device design start overview physical perceptual cognitive ability limitation implication design analysis produce set human factor principle applied across many design challenge applied guideline designing input control visual display auditory display alert alarm warning human computer interaction specific challenge solution various medical device domain robotic surgery laparoscopic surgery artificial organ wearable continuous glucose monitor insulin pump reprocessing discussed human factor research design method provided integrated human factor design lifecycle discussion regulatory requirement procedure provided including guidance human factor activity conducted documented hand professional reference essential introduction
"OBJECTIVE To investigate the impact of discontinuing contact precautions among patients infected or colonized with methicillin-resistant Staphylococcus aureus (MRSA) or vancomycin-resistant Enterococcus (VRE) on rates of healthcare-associated infection (HAI). DESIGN. Single-center, quasi-experimental study conducted between 2011 and 2016.METHODS We employed an interrupted time series design to evaluate the impact of 7 horizontal infection prevention interventions across intensive care units (ICUs) and hospital wards at an 865-bed urban, academic medical center. These interventions included (1) implementation of a urinary catheter bundle in January 2011, (2) chlorhexidine gluconate (CHG) perineal care outside ICUs in June 2011, (3) hospital-wide CHG bathing outside of ICUs in March 2012, (4) discontinuation of contact precautions in April 2013 for MRSA and VRE, (5) assessments and feedback with bare below the elbows (BBE) and contact precautions in August 2014, (6) implementation of an ultraviolet-C disinfection robot in March 2015, and (7) 72-hour automatic urinary catheter discontinuation orders",Impact of Discontinuing Contact Precautions for Methicillin-Resistant Staphylococcus aureus and Vancomycin-Resistant Enterococcus: An Interrupted Time Series Analysis,healthcare robotics,Article,,objective investigate impact discontinuing contact precaution among patient infected colonized methicillin resistant staphylococcus aureus mrsa vancomycin resistant enterococcus vre rate healthcare associated infection hai design single center quasi experimental study conducted method employed interrupted time series design evaluate impact horizontal infection prevention intervention across intensive care unit icu hospital ward bed urban academic medical center intervention included implementation urinary catheter bundle january chlorhexidine gluconate chg perineal care outside icu june hospital wide chg bathing outside icu march discontinuation contact precaution april mrsa vre assessment feedback bare elbow bbe contact precaution august implementation ultraviolet disinfection robot march hour automatic urinary catheter discontinuation order
"Background: According to the US Bureau of Labor Statistics, nurses will be the largest labor pool in the United States by 2022, and more than 1.1 million nursing positions have to be filled by then in order to avoid a nursing shortage. In addition, the incidence rate of musculoskeletal disorders in nurses is above average in comparison with other occupations. Robot-assisted health care has the potential to alleviate the nursing shortage by automating mundane and routine nursing tasks. Furthermore, robots in health care environments may assist with safe patient mobility and handling and may thereby reduce the likelihood of musculoskeletal disorders. Objective: This pilot study investigates the perceived ease of use and perceived usefulness (acceptability) of a customized service robot as determined by nursing students (as proxies for nursing staff in health care environments). This service robot, referred to as the Adaptive Robotic Nurse Assistant (ARNA), was developed to enhance",Acceptability of using a robotic nursing assistant in health care environments: experimental pilot study,healthcare robotics,Article,,background according u bureau labor statistic nurse largest labor pool united state million nursing position filled order avoid nursing shortage addition incidence rate musculoskeletal disorder nurse average comparison occupation robot assisted health care potential alleviate nursing shortage automating mundane routine nursing task furthermore robot health care environment may assist safe patient mobility handling may thereby reduce likelihood musculoskeletal disorder objective pilot study investigates perceived ease use perceived usefulness acceptability customized service robot determined nursing student proxy nursing staff health care environment service robot referred adaptive robotic nurse assistant arna developed enhance
"Palliative care seeks to improve the quality of life of patients with life-threatening illnesses by addressing their physical, emotional, and psychological needs. However, global challenges such as workforce shortages, limited access to specialized care, and inconsistent care quality demand innovative solutions. Advances in artificial intelligence (AI)-powered robotics offer transformative potential to overcome these barriers and strengthen palliative care delivery. This study explores how AI-driven robotic technologies support palliative care through applications in symptom monitoring, clinical decision-making, emotional companionship, and personalized care planning. It reviews cutting-edge robotic systems, including assistive, companion, diagnostic, nursing, procedural, service, and rehabilitation robots. Enabled by machine learning, deep learning, natural language processing, and computer vision breakthroughs, these systems help monitor vital signs, manage symptoms, plan end-of-life care, deliver medication, alleviate pain, and support mobility through robotic exoskeletons. They also assist patients with daily activities and offer respite to caregivers. Despite their promise, AI-powered robotics face significant",Artificial Intelligence-Powered Robotic Technology for Transforming Palliative Care,healthcare robotics,Article,,palliative care seek improve quality life patient life threatening illness addressing physical emotional psychological need however global challenge workforce shortage limited access specialized care inconsistent care quality demand innovative solution advance artificial intelligence ai powered robotics offer transformative potential overcome barrier strengthen palliative care delivery study explores ai driven robotic technology support palliative care application symptom monitoring clinical decision making emotional companionship personalized care planning review cutting edge robotic system including assistive companion diagnostic nursing procedural service rehabilitation robot enabled machine learning deep learning natural language processing computer vision breakthrough system help monitor vital sign manage symptom plan end life care deliver medication alleviate pain support mobility robotic exoskeleton also assist patient daily activity offer respite caregiver despite promise ai powered robotics face significant
"The integration of artificial intelligence (AI) in healthcare organizations is no longer a futuristic concept—it’s here, reshaping patient care, optimizing operational efficiency, and enhancing diagnostic accuracy. While AI offers immense potential, finding its practical applications and scaling its implementation are fraught with both technical and practical challenges, including data security, ethical concerns, regulatory practices, and workforce adaptation. For digital health leaders, adopting AI successfully requires a deep understanding of not only the technology itself but also the organizational and human factors that can make or break its success. AI-Driven Innovations in Healthcare is a practical guide designed to help digital health and IT professionals, chief medical information officers, administrators, and policymakers navigate these complexities and leverage AI to achieve sustainable improvements in care delivery. This book is not a technical manual on AI algorithms, but rather a guide to show how leaders are adopting AI within their own healthcare organization",AI-Driven Innovations in Healthcare: Best Practices and Case Studies,healthcare robotics,Book,,integration artificial intelligence ai healthcare organization longer futuristic concept reshaping patient care optimizing operational efficiency enhancing diagnostic accuracy ai offer immense potential finding practical application scaling implementation fraught technical practical challenge including data security ethical concern regulatory practice workforce adaptation digital health leader adopting ai successfully requires deep understanding technology also organizational human factor make break success ai driven innovation healthcare practical guide designed help digital health professional chief medical information officer administrator policymakers navigate complexity leverage ai achieve sustainable improvement care delivery book technical manual ai algorithm rather guide show leader adopting ai within healthcare organization
"The proceedings contain 25 papers. The special focus in this conference is on Computing, Electrical and Industrial Systems. The topics include: Rule-Based Control Algorithm to Explore Energy Flexibility from Residential Pool Filtration Pumps; quantized Digital Amplification Physical Layer Security Schemes; Behavioral and Human-Centric Access Control Model in XACML Reference Architecture: Design and Implementation of EHR Case Study; achieving Adaptive Safety via Trust Building in Autonomous Ecosystems; patient-Centered Healthcare: A Framework for Analyzing Patient Feedback Through Sentiment Analysis and Topic Modeling; multimodal Creativity State Detection from Speech and Voice; Convolutional Neural Networks for Autonomous UAV Navigation in GPS-Denied Environments; leveraging Information Flow-Based Fuzzy Cognitive Maps for Interpretable Fault Diagnosis in Industrial Robotics; continual Learning Supporting Human-Robot Collaboration; human-Centric Principles for Computational Systems Supporting Collaborative Creativity; analyzing Value-Sharing Methods in Energy Communities with Coalitional Game Theory; A Human-AI Framework to Design Collaborative Cyber Physical Systems; A Human-AI Centric Performance Evaluation System for","15th Advanced Doctoral Conference on Computing, Electrical and Industrial Systems, DoCEIS 2024",healthcare robotics,Conference review,,proceeding contain paper special focus conference computing electrical industrial system topic include rule based control algorithm explore energy flexibility residential pool filtration pump quantized digital amplification physical layer security scheme behavioral human centric access control model xacml reference architecture design implementation [Cluster] case study achieving adaptive safety via trust building autonomous ecosystem patient centered healthcare framework analyzing patient feedback sentiment analysis topic modeling multimodal creativity state detection speech voice convolutional neural network autonomous uav navigation gps denied environment leveraging information flow based fuzzy cognitive map interpretable fault diagnosis industrial robotics continual learning supporting human robot collaboration human centric principle computational system supporting collaborative creativity analyzing value sharing method energy community coalitional game theory human ai framework design collaborative cyber physical system human ai centric performance evaluation system
